event_id,type,unity_time,system_timestamp,receive_timestamp,distance_m,gradient_pct,data
45,GRADIENT_CHANGE,52.584,2026-04-15 12:22:54.586,2026-04-15 12:22:54.586,369.6,-8.7,"from=-6.2,to=-8.7"
46,GRADIENT_CHANGE,53.202,2026-04-15 12:22:55.203,2026-04-15 12:22:55.203,375.6,-10.9,"from=-8.7,to=-10.9"
47,GRADIENT_CHANGE,54.234,2026-04-15 12:22:56.235,2026-04-15 12:22:56.236,386.6,-8.8,"from=-10.9,to=-8.8"
48,GRADIENT_CHANGE,54.676,2026-04-15 12:22:56.677,2026-04-15 12:22:56.677,391.6,-6.6,"from=-8.8,to=-6.6"
49,GRADIENT_CHANGE,55.107,2026-04-15 12:22:57.109,2026-04-15 12:22:57.109,396.6,-4.4,"from=-6.6,to=-4.4"
50,GRADIENT_CHANGE,60.946,2026-04-15 12:23:02.947,2026-04-15 12:23:02.948,468.6,-2.4,"from=-4.4,to=-2.4"
51,GRADIENT_CHANGE,62.197,2026-04-15 12:23:04.198,2026-04-15 12:23:04.199,484.6,-0.3,"from=-2.4,to=-0.3"
52,GRADIENT_CHANGE,63.144,2026-04-15 12:23:05.145,2026-04-15 12:23:05.146,496.6,1.9,"from=-0.3,to=1.9"
53,CLIMB_START,63.386,2026-04-15 12:23:05.388,2026-04-15 12:23:05.389,499.6,3.2,gradient=3.2
54,GRADIENT_CHANGE,63.544,2026-04-15 12:23:05.545,2026-04-15 12:23:05.546,501.6,4.1,"from=1.9,to=4.1"
55,GRADIENT_CHANGE,63.866,2026-04-15 12:23:05.868,2026-04-15 12:23:05.868,505.6,6.3,"from=4.1,to=6.3"
56,GRADIENT_CHANGE,64.285,2026-04-15 12:23:06.286,2026-04-15 12:23:06.286,510.6,8.3,"from=6.3,to=8.3"
57,GRADIENT_CHANGE,66.913,2026-04-15 12:23:08.915,2026-04-15 12:23:08.916,538.6,6.2,"from=8.3,to=6.2"
